Gene,Regulation,geneCardsFunction
ACKR1,increased,"ACKR1 (Atypical Chemokine Receptor 1 (Duffy Blood Group)) is a Protein Coding gene. Diseases associated with ACKR1 include White Blood Cell Count Quantitative Trait Locus 1 and Malaria. Among its related pathways are GPCRs, Other and Peptide ligand-binding receptors. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and transmembrane signaling receptor activity. "
ACTA1,increased,"ACTA1 (Actin Alpha 1, Skeletal Muscle) is a Protein Coding gene. Diseases associated with ACTA1 include Myopathy, Scapulohumeroperoneal and Nemaline Myopathy 3. Among its related pathways are Delta508-CFTR traffic / ER-to-Golgi in CF and ICos-ICosL Pathway in T-Helper Cell. Gene Ontology (GO) annotations related to this gene include structural constituent of cytoskeleton and myosin binding. An important paralog of this gene is ACTC1. Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells. "
ADAMDEC1,increased,"ADAMDEC1 (ADAM Like Decysin 1) is a Protein Coding gene. Gene Ontology (GO) annotations related to this gene include metalloendopeptidase activity. An important paralog of this gene is ADAM28. May play an important role in the control of the immune response and during pregnancy.
"
ADIPOQ,increased,"ADIPOQ (Adiponectin, C1Q And Collagen Domain Containing) is a Protein Coding gene. Diseases associated with ADIPOQ include Adiponectin, Serum Level Of, Quantitative Trait Locus 1 and Glucose Intolerance. Among its related pathways are Developmental Biology and AMP-activated Protein Kinase (AMPK) Signaling. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and signaling receptor binding. An important paralog of this gene is C1QTNF9. Important adipokine involved in the control of fat metabolism and insulin sensitivity, with direct anti-diabetic, anti-atherogenic and anti-inflammatory activities. Stimulates AMPK phosphorylation and activation in the liver and the skeletal muscle, enhancing glucose utilization and fatty-acid combustion. Antagonizes TNF-alpha by negatively regulating its expression in various tissues such as liver and macrophages, and also by counteracting its effects. Inhibits endothelial NF-kappa-B signaling through a cAMP-dependent pathway. May play a role in cell growth, angiogenesis and tissue remodeling by binding and sequestering various growth factors with distinct binding affinities, depending on the type of complex, LMW, MMW or HMW"
ATF6B,increased,"ATF6B (Activating Transcription Factor 6 Beta) is a Protein Coding gene. Diseases associated with ATF6B include Narcolepsy. Among its related pathways are Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 and Circadian entrainment. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription regulatory region DNA binding. An important paralog of this gene is ATF6. Transcriptional factor that acts in the unfolded protein response (UPR) pathway by activating UPR target genes induced during ER stress. Binds DNA on the 5'-CCAC[GA]-3' half of the ER stress response element (ERSE) (5'-CCAATN(9)CCAC[GA]-3') when NF-Y is bound to ERSE.
"
CCL19,increased,"CCL19 (C-C Motif Chemokine Ligand 19) is a Protein Coding gene. Diseases associated with CCL19 include Leukemia, Chronic Lymphocytic. Among its related pathways are CCR5 Pathway in Macrophages and Cytokine Signaling in Immune system. Gene Ontology (GO) annotations related to this gene include chemokine activity and CCR10 chemokine receptor binding. An important paralog of this gene is CCL21. May play a role not only in inflammatory and immunological responses but also in normal lymphocyte recirculation and homing. May play an important role in trafficking of T-cells in thymus, and T-cell and B-cell migration to secondary lymphoid organs. Binds to chemokine receptor CCR7. Recombinant CCL19 shows potent chemotactic activity for T-cells and B-cells but not for granulocytes and monocytes. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4. "
CCL21,increased,"CCL21 (C-C Motif Chemokine Ligand 21) is a Protein Coding gene. Diseases associated with CCL21 include Posterolateral Myocardial Infarction and Skin Carcinoma In Situ. Among its related pathways are CCR5 Pathway in Macrophages and TGF-Beta Pathway. Gene Ontology (GO) annotations related to this gene include chemokine activity and CCR7 chemokine receptor binding. An important paralog of this gene is CX3CL1. Inhibits hemopoiesis and stimulates chemotaxis. Chemotactic in vitro for thymocytes and activated T-cells, but not for B-cells, macrophages, or neutrophils. Shows preferential activity towards naive T-cells. May play a role in mediating homing of lymphocytes to secondary lymphoid organs. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4. "
CFHR1,increased,"CFHR1 (Complement Factor H Related 1) is a Protein Coding gene. Diseases associated with CFHR1 include Hemolytic Uremic Syndrome, Atypical 1 and Macular Degeneration, Age-Related, 1. An important paralog of this gene is CFHR2. Involved in complement regulation. The dimerized forms have avidity for tissue-bound complement fragments and efficiently compete with the physiological complement inhibitor CFH. Can associate with lipoproteins and may play a role in lipid metabolism. "
CIDEA,increased,"CIDEA (Cell Death Inducing DFFA Like Effector A) is a Protein Coding gene. Diseases associated with CIDEA include Body Mass Index Quantitative Trait Locus 11. Among its related pathways are Metabolism and Differentiation of white and brown adipocyte. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity. An important paralog of this gene is CIDEC. Acts as a CEBPB coactivator in mammary epithelial cells to control the expression of a subset of CEBPB downstream target genes, including ID2, IGF1, PRLR, SOCS1, SOCS3, XDH, but not casein. By interacting with CEBPB, strengthens the association of CEBPB with the XDH promoter, increases histone acetylation and dissociates HDAC1 from the promoter (By similarity). Binds to lipid droplets and regulates their enlargement, thereby restricting lipolysis and favoring storage. At focal contact sites between lipid droplets, promotes directional net neutral lipid transfer from the smaller to larger lipid droplets. The transfer direction may be driven by the internal pressure difference between the contacting lipid droplet pair and occurs at a lower rate than that promoted by CIDEC. When overexpressed, induces apoptosis. The physiological significance of its role in apoptosis is unclear. "
CIDEC,increased,"CIDEC (Cell Death Inducing DFFA Like Effector C) is a Protein Coding gene. Diseases associated with CIDEC include Lipodystrophy, Familial Partial, Type 5 and Adiposis Dolorosa. Among its related pathways are Metabolism and Lipoprotein metabolism. An important paralog of this gene is CIDEA. Binds to lipid droplets and regulates their enlargement, thereby restricting lipolysis and favoring storage. At focal contact sites between lipid droplets, promotes directional net neutral lipid transfer from the smaller to larger lipid droplets. The transfer direction may be driven by the internal pressure difference between the contacting lipid droplet pair. Its role in neutral lipid transfer and lipid droplet enlargement is activated by the interaction with PLIN1. May act as a CEBPB coactivator in the white adipose tissue to control the expression of a subset of CEBPB downstream target genes, including SOCS1, SOCS3, TGFB1, TGFBR1, ID2 and XDH. When overexpressed in preadipocytes, induces apoptosis or increases cell susceptibility to apoptosis induced by serum deprivation or TGFB treatment. As mature adipocytes, that express high CIDEC levels, are quite resistant to apoptotic stimuli, the physiological significance of its role in apoptosis is unclear. May play a role in the modulation of the response to osmotic stress by preventing NFAT5 to translocate into the nucleus and activate its target genes expression. "
CLC,increased,"CLCN1 (Chloride Voltage-Gated Channel 1) is a Protein Coding gene. Diseases associated with CLCN1 include Myotonia Congenita, Autosomal Recessive and Myotonia Congenita, Autosomal Dominant. Among its related pathways are Activation of cAMP-Dependent PKA and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds. Gene Ontology (GO) annotations related to this gene include ion channel activity and adenyl nucleotide binding. An important paralog of this gene is CLCN2. Voltage-gated chloride channel (PubMed:8112288, PubMed:9122265, PubMed:12456816). Plays an important role in membrane repolarization in skeletal muscle cells after muscle contraction. "
